"시군구명","도로구간명","구간시점명","구간종점명","수종명","수목흉고직경","가로내녹지유형명","도로변녹지유형명","기후대구분명","입지명","지역X좌표","지역Y좌표","좌표계코드","시군구별가로수번호"
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,28,기타,기타,기타,기타,"354091.7218","361162.1566",EPSG:5186,108500
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,27,기타,기타,기타,기타,"354269.0163","360962.7655",EPSG:5186,108502
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,26,기타,기타,기타,기타,"354111.6186","361171.5881",EPSG:5186,108503
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,42,기타,기타,기타,기타,"331161.3061","347655.3452",EPSG:5186,132285
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,44,기타,기타,기타,기타,"331176.9235","347664.0168",EPSG:5186,132286
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,42,기타,기타,기타,기타,"331184.1808","347668.2163",EPSG:5186,132287
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,46,기타,기타,기타,기타,"331192.5494","347673.3989",EPSG:5186,132288
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330966.1045","347545.9945",EPSG:5186,132289
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330989.6763","347559.1002",EPSG:5186,132290
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330974.0326","347550.1677",EPSG:5186,132291
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,34,기타,기타,기타,기타,"330997.7759","347563.687",EPSG:5186,132293
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,38,기타,기타,기타,기타,"331005.1903","347568.0199",EPSG:5186,132294
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330950.611","347537.045",EPSG:5186,132295
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330958.4714","347541.587",EPSG:5186,132296
